asset_alias,asset_code,yf_ticker
"Wheat","001602","ZW=F"
"Corn","002602","ZC=F"
"Lean Hogs","054642","HE=F"
"Soybeans","005602","ZS=F"
"Soybean Oil","007601","ZL=F"
"Soybean Meal","026603","ZM=F"
"Cotton","033661","CT=F"
"Suco de Laranja","040701","OJ=F"
"Cocoa","073732","CC=F"
"Sugar 11","080732","SB=F"
"Coffee","083731","KC=F"
"Oil WTI","067651","CL=F"
"Palladium","075651","PA=F"
"Platinum","076651","PL=F"
"Silver","084691","SI=F"
"Gold","088691","GC=F"
"Copper","085692","HG=F"
